-2.5 -2.5 -2.5 -2.5
2.5 2.5 15 2.5
xXyYzwW
-2.5 -2.5 15 -2.5
2.5 2.5 20 2.5
xXyZwW
-2.5 2.5 15 -2.5
2.5 15 20 2.5
xXzZwW
-2.5 15 15 -2.5
2.5 20 20 2.5
xYzZwW
2.5 15 15 -2.5
15 20 20 2.5
yYzZwW
15 15 15 -2.5
20 20 20 2.5
XyYzZw
15 15 15 2.5
20 20 20 15
xXyYzZ
10 10 10 15
25 25 25 30
xXyYzZW
10 10 10 15
25 25 15 16
w
10 10 20 15
25 25 25 16
w
10 10 15 15
15 25 20 16
w
20 10 15 15
25 25 20 16
w
15 10 15 15
20 15 20 16
w
15 20 15 15
20 25 20 16
w
16 16 16 21
19 19 19 24
T
