-2 -2 13 -2
2 2 17 2
T
-5 -5 -5 -5
5 5 5 5
xXyYzZW
-5 -5 -5 -5
5 5 -2.5 -4
w
-5 -5 2.5 -5
5 5 5 -4
w
-5 -5 -2.5 -5
-2.5 5 2.5 -4
w
2.5 -5 -2.5 -5
5 5 2.5 -4
w
-2.5 -5 -2.5 -5
2.5 -2.5 2.5 -4
w
-2.5 2.5 -2.5 -5
2.5 5 2.5 -4
w
-6 -6 9 -6
6 6 21 6
xXyzZwW
-6 5 9 -6
6 6 21 -2.5
Y
-6 5 9 2.5
6 6 21 6
Y
-6 5 9 -2.5
-2.5 6 21 2.5
Y
2.5 5 9 -2.5
6 6 21 2.5
Y
-2.5 5 9 -2.5
2.5 6 12.5 2.5
Y
-2.5 5 17.5 -2.5
2.5 6 21 2.5
Y
-2.5 -2.5 -2.5 -5
2.5 2.5 2.5 -15
xXyYzZ
-2.5 -2.5 -2.5 -15
2.5 2.5 2.5 -20
xXyzZw
-2.5 2.5 -2.5 -15
2.5 16 2.5 -20
xXzZwW
-2.5 16 -2.5 -15
2.5 21 2.5 -20
xYzZwW
2.5 16 -2.5 -15
10 21 2.5 -20
yYzZwW
10 16 -2.5 -15
15 21 2.5 -20
XyYzwW
10 16 2.5 -15
15 21 12.5 -20
xXyYwW
10 16 12.5 -15
15 21 17.5 -20
XyYZwW
10 16 12.5 -15
2.5 21 17.5 -20
yYzZwW
-2.5 16 12.5 -15
2.5 21 17.5 -20
xyYzZw
-2.5 16 12.5 -2.5
2.5 21 17.5 -15
xXyYzZ
-2.5 16 12.5 -2.5
2.5 21 17.5 2.5
xXYzZW
-2.5 6 12.5 -2.5
2.5 16 17.5 2.5
xXzZwW
